priority,score,system,year,project_document,why_it_matters,captures,unique_versions,mime_type,original,archive_exact,archive_history
HIGH,11,Water,2020,stormwater,priority category; 5 unique versions; infrastructure/money keyword,5,5,text/html,http://www.copperascovetx.gov/public_works/stormwater/,https://web.archive.org/web/20200502164105/http://www.copperascovetx.gov/public_works/stormwater/,https://web.archive.org/web/*/http://www.copperascovetx.gov/public_works/stormwater/
HIGH,10,Budget / Finance,2025,report.pdf,review category; 4 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,4,4,application/pdf,https://www.copperascovetx.gov/files/municipal_court/appt_fees/report.pdf,https://web.archive.org/web/20250327011001/https://www.copperascovetx.gov/files/municipal_court/appt_fees/report.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/municipal_court/appt_fees/report.pdf
HIGH,10,Wastewater,2015,sewer department.htm,priority category; 4 unique versions; infrastructure/money keyword,4,4,text/html,http://www.copperascovetx.gov/pages/sewer_department/sewer_department.htm,https://web.archive.org/web/20150205185038/http://www.copperascovetx.gov/pages/sewer_department/sewer_department.htm,https://web.archive.org/web/*/http://www.copperascovetx.gov/pages/sewer_department/sewer_department.htm
HIGH,10,Wastewater,2015,wastewater.htm,priority category; 4 unique versions; infrastructure/money keyword,4,4,text/html,http://www.copperascovetx.gov/pages/water/wastewater.htm,https://web.archive.org/web/20150206025241/http://www.copperascovetx.gov/pages/water/wastewater.htm,https://web.archive.org/web/*/http://www.copperascovetx.gov/pages/water/wastewater.htm
HIGH,10,Water,2015,public works.htm,priority category; 4 unique versions; infrastructure/money keyword,4,4,text/html,http://www.copperascovetx.gov/pages/water_administration/public_works.htm,https://web.archive.org/web/20150205220422/http://www.copperascovetx.gov/pages/water_administration/public_works.htm,https://web.archive.org/web/*/http://www.copperascovetx.gov/pages/water_administration/public_works.htm
HIGH,10,Water,2015,water distribution.htm,priority category; 4 unique versions; infrastructure/money keyword,4,4,text/html,http://www.copperascovetx.gov/pages/water/water_distribution.htm,https://web.archive.org/web/20150205220429/http://www.copperascovetx.gov/pages/water/water_distribution.htm,https://web.archive.org/web/*/http://www.copperascovetx.gov/pages/water/water_distribution.htm
HIGH,10,Water,2020,water distribution,priority category; 4 unique versions; infrastructure/money keyword,4,4,text/html,http://www.copperascovetx.gov/public_works/water_distribution/,https://web.archive.org/web/20200502155706/http://www.copperascovetx.gov/public_works/water_distribution/,https://web.archive.org/web/*/http://www.copperascovetx.gov/public_works/water_distribution/
HIGH,10,Water,2020,water quality reports,priority category; 4 unique versions; infrastructure/money keyword,4,4,text/html,http://www.copperascovetx.gov/public_works/water_quality_reports/,https://web.archive.org/web/20200502181108/http://www.copperascovetx.gov/public_works/water_quality_reports/,https://web.archive.org/web/*/http://www.copperascovetx.gov/public_works/water_quality_reports/
HIGH,10,Contracts / Bids,2015,bid requests.htm,priority category; 3 unique versions; infrastructure/money keyword; financial/project keyword,3,3,text/html,http://www.copperascovetx.gov/pages/finance_department/bid_requests.htm,https://web.archive.org/web/20150205163301/http://www.copperascovetx.gov/pages/finance_department/bid_requests.htm,https://web.archive.org/web/*/http://www.copperascovetx.gov/pages/finance_department/bid_requests.htm
HIGH,10,Contracts / Bids,2020,bid requests,priority category; 3 unique versions; infrastructure/money keyword; financial/project keyword,3,3,text/html,http://www.copperascovetx.gov/finance_department/bid_requests/,https://web.archive.org/web/20200402144532/http://www.copperascovetx.gov/finance_department/bid_requests/,https://web.archive.org/web/*/http://www.copperascovetx.gov/finance_department/bid_requests/
HIGH,10,Contracts / Bids,2020,305 S Main St Project Manual.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/305%20S%20Main%20St%20-%20Project%20Manual.pdf,https://web.archive.org/web/20201027033022/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/305%20S%20Main%20St%20-%20Project%20Manual.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/305%20S%20Main%20St%20-%20Project%20Manual.pdf
HIGH,10,Contracts / Bids,2020,305 S Main St.Copperas Cove TX 76522 PROPOSED 4 21 2020.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/305%20S%20Main%20St.Copperas%20Cove%20TX%2076522-PROPOSED%204-21-2020.pdf,https://web.archive.org/web/20201027024151/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/305%20S%20Main%20St.Copperas%20Cove%20TX%2076522-PROPOSED%204-21-2020.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/305%20S%20Main%20St.Copperas%20Cove%20TX%2076522-PROPOSED%204-21-2020.pdf
HIGH,10,Contracts / Bids,2020,Addendum No. 06.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2006.pdf,https://web.archive.org/web/20201019154712/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2006.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-17-81/Addendum%20No.%2006.pdf
HIGH,10,Contracts / Bids,2020,CSJ 0909 39 131 etc Specifications and Contract Manual 2020 03 24.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/CSJ%200909-39-131%20etc%20Specifications%20and%20Contract%20Manual%202020-03-24.pdf,https://web.archive.org/web/20201027033357/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/CSJ%200909-39-131%20etc%20Specifications%20and%20Contract%20Manual%202020-03-24.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/CSJ%200909-39-131%20etc%20Specifications%20and%20Contract%20Manual%202020-03-24.pdf
HIGH,10,Contracts / Bids,2020,CSJ 0909 39 131 etc The Narrows 100percent Complete Plans 2020 03 17.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/CSJ%200909-39-131%20etc%20The%20Narrows%20100percent%20Complete%20Plans%202020-03-17.pdf,https://web.archive.org/web/20201019160845/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/CSJ%200909-39-131%20etc%20The%20Narrows%20100percent%20Complete%20Plans%202020-03-17.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-16-61/CSJ%200909-39-131%20etc%20The%20Narrows%20100percent%20Complete%20Plans%202020-03-17.pdf
HIGH,10,Contracts / Bids,2020,Construction Drawings.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/Construction_Drawings.pdf,https://web.archive.org/web/20201027040350/https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/Construction_Drawings.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/Construction_Drawings.pdf
HIGH,10,Contracts / Bids,2020,FM 116 & FM 3046 SIDEWALKS.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/FM%20116%20&%20FM%203046%20SIDEWALKS.pdf,https://web.archive.org/web/20201019153328/https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/FM%20116%20&%20FM%203046%20SIDEWALKS.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/FM%20116%20&%20FM%203046%20SIDEWALKS.pdf
HIGH,10,Contracts / Bids,2024,ADDENDUM NO. 1.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%201.pdf,https://web.archive.org/web/20240730113542/https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%201.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2020-01-61/ADDENDUM%20NO.%201.pdf
HIGH,10,Contracts / Bids,2024,BID 2019 10.54.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/BID%202019-10.54.pdf,https://web.archive.org/web/20240719150319/https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/BID%202019-10.54.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/BID%202019-10.54.pdf
HIGH,10,Contracts / Bids,2024,Copperas Cove Park Improvements Ph 2 Restrooms 2019 10 17.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/Copperas%20Cove%20Park%20Improvements%20Ph%202%20Restrooms%202019-10-17.pdf,https://web.archive.org/web/20240728065831/https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/Copperas%20Cove%20Park%20Improvements%20Ph%202%20Restrooms%202019-10-17.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2019-10-54/Copperas%20Cove%20Park%20Improvements%20Ph%202%20Restrooms%202019-10-17.pdf
HIGH,10,Contracts / Bids,2025,Addendum2.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/Addendum2.pdf,https://web.archive.org/web/20250803020049/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/Addendum2.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/Addendum2.pdf
HIGH,10,Contracts / Bids,2025,COPPERAS COVE FS3 ADDITION & RENOVATION BID DRAWINGS 11 29 2024 (1).pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20ADDITION%20&%20RENOVATION%20-%20BID%20DRAWINGS%2011-29-2024%20(1).pdf,https://web.archive.org/web/20250803015328/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20ADDITION%20&%20RENOVATION%20-%20BID%20DRAWINGS%2011-29-2024%20(1).pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20ADDITION%20&%20RENOVATION%20-%20BID%20DRAWINGS%2011-29-2024%20(1).pdf
HIGH,10,Contracts / Bids,2025,COPPERAS COVE FS3 ADDITION & RENOVATION BID SPECIFICATIONS 11 29 2024 (2).pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20ADDITION%20&%20RENOVATION%20-%20BID%20SPECIFICATIONS%2011-29-2024%20(2).pdf,https://web.archive.org/web/20250803023813/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20ADDITION%20&%20RENOVATION%20-%20BID%20SPECIFICATIONS%2011-29-2024%20(2).pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-01-44/COPPERAS%20COVE%20FS3%20ADDITION%20&%20RENOVATION%20-%20BID%20SPECIFICATIONS%2011-29-2024%20(2).pdf
HIGH,10,Contracts / Bids,2025,SENIOR CENTER GRADING PROJECT BID.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/finance/bid_requests/2025-03-54/SENIOR%20CENTER%20GRADING%20PROJECT%20BID.pdf,https://web.archive.org/web/20250803020452/https://www.copperascovetx.gov/files/finance/bid_requests/2025-03-54/SENIOR%20CENTER%20GRADING%20PROJECT%20BID.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/finance/bid_requests/2025-03-54/SENIOR%20CENTER%20GRADING%20PROJECT%20BID.pdf
HIGH,10,Debt / Capital,2021,02212020 FY 2021 2025 Capital Improvement Plan Presentation.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/budget/presentations/02212020%20FY%202021-2025%20Capital%20Improvement%20Plan%20Presentation.pdf,https://web.archive.org/web/20210304095719/https://www.copperascovetx.gov/files/budget/presentations/02212020%20FY%202021-2025%20Capital%20Improvement%20Plan%20Presentation.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/presentations/02212020%20FY%202021-2025%20Capital%20Improvement%20Plan%20Presentation.pdf
HIGH,10,Debt / Capital,2021,FY2010 14 adopted 09.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_adopted_09.pdf,https://web.archive.org/web/20210118210925/https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_adopted_09.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_adopted_09.pdf
HIGH,10,Debt / Capital,2024,FY 2025 2029 Capital Outlay Plan 02272024 1st meeting with PD change and moved FS4 items to 2028.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cop/FY%202025-2029%20Capital%20Outlay%20Plan%2002272024%201st%20meeting%20with%20PD%20change%20and%20moved%20FS4%20items%20to%202028.pdf,https://web.archive.org/web/20240611082013/https://www.copperascovetx.gov/files/budget/plans/cop/FY%202025-2029%20Capital%20Outlay%20Plan%2002272024%201st%20meeting%20with%20PD%20change%20and%20moved%20FS4%20items%20to%202028.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cop/FY%202025-2029%20Capital%20Outlay%20Plan%2002272024%201st%20meeting%20with%20PD%20change%20and%20moved%20FS4%20items%20to%202028.pdf
HIGH,10,Debt / Capital,2024,FY 2025 2029 PROPOSED.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,2,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY%202025-2029%20PROPOSED.pdf,https://web.archive.org/web/20240612194333/https://www.copperascovetx.gov/files/budget/plans/cip/FY%202025-2029%20PROPOSED.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY%202025-2029%20PROPOSED.pdf
HIGH,10,Debt / Capital,2024,FY2010 14 amended 10.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_10.pdf,https://web.archive.org/web/20240712004852/https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_10.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_10.pdf
HIGH,10,Debt / Capital,2024,FY2010 14 amended 11.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_11.pdf,https://web.archive.org/web/20240713203623/https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_11.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_11.pdf
HIGH,10,Debt / Capital,2024,FY2010 14 amended 12.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_12.pdf,https://web.archive.org/web/20240713182145/https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_12.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_12.pdf
HIGH,10,Debt / Capital,2024,FY2010 14 amended 13.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_13.pdf,https://web.archive.org/web/20240721214059/https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_13.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2010-14_amended_13.pdf
HIGH,10,Debt / Capital,2024,FY2015 19.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,4,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2015-19.pdf,https://web.archive.org/web/20240530090824/https://www.copperascovetx.gov/files/budget/plans/cip/FY2015-19.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2015-19.pdf
HIGH,10,Debt / Capital,2024,FY2016 20.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,4,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2016-20.pdf,https://web.archive.org/web/20240530091716/https://www.copperascovetx.gov/files/budget/plans/cip/FY2016-20.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2016-20.pdf
HIGH,10,Debt / Capital,2024,FY2017 21.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2017-21.pdf,https://web.archive.org/web/20240530091137/https://www.copperascovetx.gov/files/budget/plans/cip/FY2017-21.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2017-21.pdf
HIGH,10,Debt / Capital,2024,FY2018 22 amended 17.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2018-22_amended_17.pdf,https://web.archive.org/web/20240730063216/https://www.copperascovetx.gov/files/budget/plans/cip/FY2018-22_amended_17.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2018-22_amended_17.pdf
HIGH,10,Debt / Capital,2024,FY2018 22.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,4,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2018-22.pdf,https://web.archive.org/web/20240530090655/https://www.copperascovetx.gov/files/budget/plans/cip/FY2018-22.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2018-22.pdf
HIGH,10,Debt / Capital,2024,FY2019 23.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2019-23.pdf,https://web.archive.org/web/20240530090351/https://www.copperascovetx.gov/files/budget/plans/cip/FY2019-23.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2019-23.pdf
HIGH,10,Debt / Capital,2024,FY2020 24.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2020-24.pdf,https://web.archive.org/web/20240530104735/https://www.copperascovetx.gov/files/budget/plans/cip/FY2020-24.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2020-24.pdf
HIGH,10,Debt / Capital,2025,FY 2021 2025 ADOPTED.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,5,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY%202021-2025%20ADOPTED.pdf,https://web.archive.org/web/20250208072459/https://www.copperascovetx.gov/files/budget/plans/cip/FY%202021-2025%20ADOPTED.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY%202021-2025%20ADOPTED.pdf
HIGH,10,Debt / Capital,2025,FY 2023 2027.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY%202023-2027.pdf,https://web.archive.org/web/20250208205437/https://www.copperascovetx.gov/files/budget/plans/cip/FY%202023-2027.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY%202023-2027.pdf
HIGH,10,Debt / Capital,2025,FY 2024 2028.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY%202024-2028.pdf,https://web.archive.org/web/20250208214116/https://www.copperascovetx.gov/files/budget/plans/cip/FY%202024-2028.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY%202024-2028.pdf
HIGH,10,Debt / Capital,2025,FY2022 2026 Adopted.pdf,priority category; 2 unique versions; infrastructure/money keyword; financial/project keyword; document/PDF,3,2,application/pdf,https://www.copperascovetx.gov/files/budget/plans/cip/FY2022-2026_Adopted.pdf,https://web.archive.org/web/20250208073424/https://www.copperascovetx.gov/files/budget/plans/cip/FY2022-2026_Adopted.pdf,https://web.archive.org/web/*/https://www.copperascovetx.gov/files/budget/plans/cip/FY2022-2026_Adopted.pdf
